symbol,stock_name,signal_date,strategy_name,signal_level,market_cap_formatted,pe,pb,revenue_growth_yoy,profit_growth_yoy,peg_like_ratio,net_profit_positive_3y_latest,growth_positive,pe_lt_30,peg_like_lt_1,tech_notes,error_reason
300091,金通灵,2025-06-04,AdaptedMAPullbackStrategy,Daily,42.44亿,,6.97,-0.68,-1.98,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.9750977718629317).; PE计算失败：年度净利润无效或非正 (-1314000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.9750977718629317).; PE计算失败：年度净利润无效或非正 (-1314000000.0).
300095,华伍股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,35.33亿,,2.07,0.15,-0.41,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.4098673993549158).; PE计算失败：年度净利润无效或非正 (-293000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.4098673993549158).; PE计算失败：年度净利润无效或非正 (-293000000.0).
300209,有棵树,2025-06-04,AdaptedMAPullbackStrategy,Daily,51.82亿,91.29,5.61,-0.81,1.06,0.86,否,否,否,是,,
300322,硕贝德,2025-06-04,AdaptedMAPullbackStrategy,Daily,69.12亿,,7.04,0.42,2.76,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-64459000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-64459000.0).
300376,ST易事特,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,81.72亿,43.24,1.19,-0.04,-0.04,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.03949589507735156).; PEG近似值计算失败：利润增长率无效或非正 (-0.03949589507735156).
300399,天利科技,2025-06-04,AdaptedMAPullbackStrategy,Daily,48.81亿,2943.92,9.23,0.13,3.51,8.38,是,是,否,否,,
300457,赢合科技,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,114.97亿,22.86,1.80,-0.28,-0.90,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.9046276729559748).; PEG近似值计算失败：利润增长率无效或非正 (-0.9046276729559748).
300487,蓝晓科技,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,239.01亿,30.37,5.80,-0.09,0.14,2.14,是,否,否,否,,
300499,高澜股份,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,54.49亿,,3.99,0.22,1.31,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-50322100.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-50322100.0).
300540,蜀道装备,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,36.96亿,51.08,3.37,0.28,-1.17,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-1.1656564125877658).; PEG近似值计算失败：利润增长率无效或非正 (-1.1656564125877658).
300570,太辰光,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,177.68亿,68.08,10.87,0.66,1.50,0.45,是,是,否,是,,
300575,中旗股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,30.21亿,257.74,1.45,0.17,-2.45,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-2.450452273509116).; PEG近似值计算失败：利润增长率无效或非正 (-2.450452273509116).
300581,晨曦航空,2025-06-04,AdaptedMAPullbackStrategy,Daily,74.48亿,,7.57,1.49,-0.01,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.01010852383672289).; PE计算失败：年度净利润无效或非正 (-26585100.000000004).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.01010852383672289).; PE计算失败：年度净利润无效或非正 (-26585100.000000004).
300631,久吾高科,2025-06-04,AdaptedMAPullbackStrategy,Daily,28.32亿,53.42,2.23,0.07,0.26,2.06,是,是,否,否,,
300648,星云股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,64.47亿,,8.43,0.22,0.85,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-82448799.99999999).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-82448799.99999999).
300673,佩蒂股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,44.61亿,24.51,2.27,-0.14,-0.47,,否,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.46708029564562803).; PEG近似值计算失败：利润增长率无效或非正 (-0.46708029564562803).
300691,联合光电,2025-06-04,ChanBreakoutStrategyV8,Daily,50.37亿,130.61,3.13,-0.03,-15.37,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-15.369821879478605).; PEG近似值计算失败：利润增长率无效或非正 (-15.369821879478605).
300695,兆丰股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,58.39亿,41.71,2.25,0.04,0.20,2.05,是,是,否,否,,
300741,华宝股份,2025-06-04,ChanBreakoutStrategyV8,Daily,126.62亿,,1.85,-0.04,-0.36,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.3646048105489788).; PE计算失败：年度净利润无效或非正 (-296000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.3646048105489788).; PE计算失败：年度净利润无效或非正 (-296000000.0).
300816,艾可蓝,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,25.65亿,51.42,3.02,0.02,0.35,1.46,否,是,否,否,,
300824,北鼎股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,41.90亿,60.28,5.68,0.34,0.48,1.26,是,是,否,否,,
300829,金丹科技,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,38.06亿,101.52,2.05,-0.02,1.26,0.81,是,否,否,是,,
300833,浩洋股份,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,43.41亿,14.37,1.75,-0.08,-0.47,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.47268811881188116).; PEG近似值计算失败：利润增长率无效或非正 (-0.47268811881188116).
300843,胜蓝股份,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,46.31亿,44.96,2.99,0.17,0.38,1.17,是,是,否,否,,
300867,圣元环保,2025-06-04,AdaptedMAPullbackStrategy,Daily,50.73亿,27.88,1.36,-0.02,0.43,0.64,是,否,是,是,,
300884,狄耐克,2025-06-04,AdaptedMAPullbackStrategy,Daily,31.38亿,,2.48,-0.10,-3.52,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-3.516665119301829).; PE计算失败：年度净利润无效或非正 (-12887600.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-3.516665119301829).; PE计算失败：年度净利润无效或非正 (-12887600.0).
300923,研奥股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,18.68亿,44.12,1.62,0.22,0.17,2.56,是,是,否,否,,
300927,江天化学,2025-06-04,AdaptedMAPullbackStrategy,Daily,45.53亿,15.28,4.72,1.05,-0.93,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.9342123235391006).; PEG近似值计算失败：利润增长率无效或非正 (-0.9342123235391006).
300947,德必集团,2025-06-04,AdaptedMAPullbackStrategy,Daily,33.46亿,97.99,2.63,-0.04,-0.77,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.772677867850188).; PEG近似值计算失败：利润增长率无效或非正 (-0.772677867850188).
300955,嘉亨家化,2025-06-04,AdaptedMAPullbackStrategy,Daily,19.30亿,,2.11,0.08,-5.84,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-5.842331204066213).; PE计算失败：年度净利润无效或非正 (-23697000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-5.842331204066213).; PE计算失败：年度净利润无效或非正 (-23697000.0).
300998,宁波方正,2025-06-04,ChanBreakoutStrategyV8,Daily,30.29亿,,2.35,0.51,2.06,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-9296400.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-9296400.0).
301003,江苏博云,2025-06-04,AdaptedMAPullbackStrategy,Daily,29.29亿,20.77,2.37,0.05,-0.03,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.024952416744456703).; PEG近似值计算失败：利润增长率无效或非正 (-0.024952416744456703).
301040,中环海陆,2025-06-04,AdaptedMAPullbackStrategy,Daily,23.04亿,,2.66,0.05,-0.12,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.12231958318980365).; PE计算失败：年度净利润无效或非正 (-154000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.12231958318980365).; PE计算失败：年度净利润无效或非正 (-154000000.0).
301057,汇隆新材,2025-06-04,AdaptedMAPullbackStrategy,Daily,19.44亿,62.86,2.53,0.24,0.45,1.41,是,是,否,否,,
301062,上海艾录,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,37.78亿,70.85,2.46,0.06,-0.97,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.9726372706881641).; PEG近似值计算失败：利润增长率无效或非正 (-0.9726372706881641).
301092,争光股份,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,40.86亿,39.67,2.14,0.13,-0.07,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.07412090535765462).; PEG近似值计算失败：利润增长率无效或非正 (-0.07412090535765462).
301103,何氏眼科,2025-06-04,ChanBreakoutStrategyV8,Daily,35.68亿,,1.87,0.02,0.12,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-27398200.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-27398200.0).
301105,鸿铭股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,17.43亿,,2.06,-0.00,-0.07,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.07180006443595537).; PE计算失败：年度净利润无效或非正 (-9770900.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.07180006443595537).; PE计算失败：年度净利润无效或非正 (-9770900.0).
301110,青木科技,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,46.19亿,51.02,3.23,0.21,-0.59,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.5855958360571631).; PEG近似值计算失败：利润增长率无效或非正 (-0.5855958360571631).
301119,正强股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,45.02亿,49.51,4.24,0.06,1.00,0.50,是,是,否,是,,
301125,腾亚精工,2025-06-04,AdaptedMAPullbackStrategy,Daily,18.30亿,176.08,3.02,0.13,1.18,1.49,是,是,否,否,,
301131,聚赛龙,2025-06-04,AdaptedMAPullbackStrategy,Daily,22.00亿,57.18,2.48,0.06,0.09,6.13,是,是,否,否,,
301136,招标股份,2025-06-04,ChanBreakoutStrategyV8,Daily,33.71亿,,2.33,-0.20,-1.76,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.7643340404793304).; PE计算失败：年度净利润无效或非正 (-6110500.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.7643340404793304).; PE计算失败：年度净利润无效或非正 (-6110500.0).
301148,嘉戎技术,2025-06-04,ChanBreakoutStrategyV8,Daily,25.84亿,51.47,1.46,-0.08,0.01,67.60,是,否,否,否,,
301205,联特科技,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,89.65亿,96.45,5.84,0.31,5.00,0.19,是,是,否,是,,
301235,华康洁净,2025-06-04,AdaptedMAPullbackStrategy,Daily,25.65亿,38.39,1.46,0.28,0.10,3.95,否,是,否,否,,
301258,富士莱,2025-06-04,AdaptedMAPullbackStrategy,Daily,28.90亿,176.18,1.51,0.17,3.14,0.56,是,是,否,是,,
301275,汉朔科技,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,236.12亿,33.26,6.07,0.01,-0.11,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.11242603550295859).; PEG近似值计算失败：利润增长率无效或非正 (-0.11242603550295859).
301297,富乐德,2025-06-04,AdaptedMAPullbackStrategy,Daily,144.97亿,133.00,9.32,0.28,0.10,13.54,是,是,否,否,,
301300,远翔新材,2025-06-04,AdaptedMAPullbackStrategy,Daily,22.54亿,46.75,2.76,0.11,1.50,0.31,是,是,否,是,,
301302,华如科技,2025-06-04,AdaptedMAPullbackStrategy,Daily,36.63亿,,2.18,0.02,-0.00,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.001066889438549433).; PE计算失败：年度净利润无效或非正 (-354000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.001066889438549433).; PE计算失败：年度净利润无效或非正 (-354000000.0).
301310,鑫宏业,2025-06-04,AdaptedMAPullbackStrategy,Daily,50.57亿,43.59,2.18,0.55,0.20,2.13,是,是,否,否,,
